id	review	sentiment
156564	gauzy	2
156565	dithering way	2
156566	dithering	2
156567	would hard think recent movie worked hard achieve little fun	2
156568	would hard think recent movie worked hard achieve little fun	2
156569	would hard think recent movie worked hard achieve little fun	2
156570	would	2
156571	hard think recent movie worked hard achieve little fun	2
156572	NOTHING	2
156573	hard think recent movie worked hard achieve little fun	2
156574	hard	2
156575	think recent movie worked hard achieve little fun	2
156576	think recent movie worked hard achieve little fun	2
156577	think	2
156578	recent movie worked hard achieve little fun	2
156579	recent movie worked hard achieve little fun	2
156580	recent movie	2
156581	recent movie	2
156582	recent	2
156583	worked hard achieve little fun	2
156584	worked hard achieve little fun	2
156585	NOTHING	2
156586	worked hard achieve little fun	2
156587	worked	2
156588	hard achieve little fun	2
156589	hard achieve little fun	2
156590	achieve little fun	2
156591	achieve little fun	2
156592	achieve	3
156593	little fun	2
156594	little fun	2
156595	little	2
156596	fun	3
156597	story structure well honed	2
156598	story structure	2
156599	story structure	2
156600	story	2
156601	story	2
156602	structure	2
156603	well honed	2
156604	well honed	2
156605	NOTHING	2
156606	well honed	2
156607	chilling uncommercial look mind jeffrey dahmer serial killer	2
156608	chilling uncommercial	2
156609	chilling	2
156610	chilling	2
156611	uncommercial	2
156612	look mind jeffrey dahmer serial killer	2
156613	look mind jeffrey dahmer serial killer	2
156614	look	2
156615	mind jeffrey dahmer serial killer	2
156616	mind jeffrey dahmer serial killer	2
156617	mind	2
156618	mind	2
156619	jeffrey dahmer serial killer	2
156620	jeffrey dahmer serial killer	2
156621	jeffrey dahmer	2
156622	jeffrey dahmer	2
156623	jeffrey	2
156624	dahmer	1
156625	serial killer	2
156626	serial	2
156627	killer	2
156628	movie plain old monster	3
156629	movie plain old monster	3
156630	plain old monster	2
156631	plain old monster	2
156632	NOTHING	2
156633	NOTHING	2
156634	plain old monster	2
156635	plain old monster	2
156636	plain old	1
156637	plain	2
156638	old	2
156639	monster	2
156640	film relationship actual tension christmas tree flocking spray actual snow poor durable imitation	3
156641	film relationship actual tension	2
156642	film relationship	2
156643	film	2
156644	film	2
156645	relationship	2
156646	actual tension	2
156647	actual tension	2
156648	actual	2
156649	tension	2
156650	christmas tree flocking spray actual snow poor durable imitation	3
156651	christmas tree flocking spray actual snow poor durable imitation	3
156652	christmas tree flocking spray actual snow poor durable imitation	3
156653	NOTHING	2
156654	christmas tree flocking spray actual snow poor durable imitation	3
156655	christmas tree flocking spray actual snow poor durable imitation	3
156656	christmas tree flocking spray actual snow poor durable imitation	3
156657	christmas tree flocking spray	2
156658	christmas tree flocking	2
156659	christmas tree	2
156660	flocking	2
156661	spray	2
156662	spray	2
156663	spray	2
156664	spray	2
156665	NOTHING	2
156666	actual snow poor durable imitation	2
156667	actual snow poor durable imitation	2
156668	actual snow poor durable imitation	2
156669	actual snow	2
156670	actual snow	2
156671	snow	2
156672	NOTHING	2
156673	poor durable imitation	2
156674	poor durable imitation	2
156675	poor durable	2
156676	poor	1
156677	durable	3
156678	NOTHING	2
156679	durable	3
156680	durable	3
156681	NOTHING	2
156682	durable	3
156683	imitation	1
156684	depressing confirmation everything us n object description unelected suspected along george w bush incurious uncharismatic overgrown frat boy mean streak mile wide	3
156685	depressing confirmation everything us n object description unelected suspected along george w bush incurious uncharismatic overgrown frat boy mean streak mile wide	3
156686	depressing confirmation everything us n object description unelected suspected along	2
156687	depressing confirmation everything us n object description unelected suspected along	2
156688	depressing confirmation everything us n object description unelected	2
156689	depressing confirmation	2
156690	depressing confirmation	2
156691	depressing	1
156692	confirmation	2
156693	everything us n object description unelected	2
156694	everything us n object description unelected	2
156695	everything	2
156696	us n object description unelected	2
156697	us	2
156698	NOTHING	2
156699	us	2
156700	us	2
156701	n object description unelected	2
156702	NOTHING	2
156703	n object description unelected	2
156704	n	2
156705	NOTHING	2
156706	object description unelected	2
156707	object	2
156708	description unelected	2
156709	description unelected	2
156710	description unelected	2
156711	description	2
156712	unelected	2
156713	NOTHING	2
156714	unelected	2
156715	unelected	2
156716	NOTHING	2
156717	suspected along	2
156718	NOTHING	2
156719	suspected along	2
156720	suspected	2
156721	along	2
156722	along	2
156723	george w bush incurious uncharismatic overgrown frat boy mean streak mile wide	3
156724	george w bush	2
156725	george	2
156726	w bush	2
156727	w	2
156728	bush	2
156729	incurious uncharismatic overgrown frat boy mean streak mile wide	3
156730	incurious uncharismatic overgrown frat boy mean streak mile wide	3
156731	incurious uncharismatic overgrown frat boy	2
156732	incurious uncharismatic overgrown frat boy	2
156733	incurious	2
156734	uncharismatic overgrown frat boy	2
156735	uncharismatic overgrown frat boy	2
156736	uncharismatic	2
156737	overgrown frat boy	2
156738	overgrown frat boy	2
156739	overgrown	2
156740	frat boy	2
156741	frat	1
156742	boy	2
156743	mean streak mile wide	2
156744	NOTHING	2
156745	mean streak mile wide	2
156746	mean streak mile	2
156747	mean streak	2
156748	mean streak	2
156749	mean	2
156750	streak	2
156751	mile	2
156752	mile	2
156753	wide	2
156754	n know music appreciate film easygoing blend comedy romance	2
156755	n know music appreciate film easygoing blend comedy romance	2
156756	n know music appreciate film easygoing blend comedy romance	2
156757	know music appreciate film easygoing blend comedy romance	3
156758	know music	2
156759	know music	2
156760	know music	2
156761	know	2
156762	music	2
156763	music	2
156764	appreciate film easygoing blend comedy romance	3
156765	appreciate film easygoing blend comedy romance	3
156766	appreciate	2
156767	film easygoing blend comedy romance	3
156768	film easygoing blend	2
156769	film	2
156770	easygoing blend	2
156771	easygoing	2
156772	blend	2
156773	comedy romance	3
156774	comedy romance	3
156775	comedy	2
156776	comedy	2
156777	romance	2
156778	however lacks grandeur epic quality often associated stevenson tale well earlier disney efforts	3
156779	however	2
156780	lacks grandeur epic quality often associated stevenson tale well earlier disney efforts	3
156781	lacks grandeur epic quality often associated stevenson tale well earlier disney efforts	3
156782	lacks grandeur epic quality often associated stevenson tale well earlier disney efforts	3
156783	lacks grandeur epic quality often associated stevenson tale well earlier disney efforts	3
156784	lacks	1
156785	grandeur epic quality often associated stevenson tale well earlier disney efforts	3
156786	grandeur	2
156787	grandeur	2
156788	epic quality often associated stevenson tale well earlier disney efforts	3
156789	epic quality	2
156790	epic quality	2
156791	epic	3
156792	quality	2
156793	often associated stevenson tale well earlier disney efforts	2
156794	often	2
156795	associated stevenson tale well earlier disney efforts	2
156796	associated	2
156797	stevenson tale well earlier disney efforts	2
156798	stevenson tale well	2
156799	stevenson tale	2
156800	stevenson tale	2
156801	stevenson	2
156802	stevenson	2
156803	tale	2
156804	well	2
156805	well	2
156806	earlier disney efforts	2
156807	earlier disney efforts	2
156808	earlier	2
156809	disney efforts	2
156810	disney	2
156811	efforts	2
156812	although occasionally static point resembling stage play film delivers solid mixture sweetness laughs	3
156813	although occasionally static point resembling stage play	2
156814	although	2
156815	occasionally static point resembling stage play	2
156816	occasionally	2
156817	static point resembling stage play	2
156818	static	2
156819	point resembling stage play	3
156820	point resembling stage play	3
156821	point	2
156822	point	2
156823	resembling stage play	2
156824	resembling stage play	2
156825	resembling	2
156826	stage play	2
156827	stage play	2
156828	stage	2
156829	play	2
156830	film delivers solid mixture sweetness laughs	3
156831	film delivers solid mixture sweetness laughs	3
156832	delivers solid mixture sweetness laughs	3
156833	delivers solid mixture sweetness laughs	3
156834	delivers solid mixture sweetness	2
156835	delivers solid mixture sweetness	2
156836	solid mixture sweetness	2
156837	solid mixture	2
156838	solid mixture	2
156839	solid	2
156840	mixture	2
156841	sweetness	3
156842	sweetness	3
156843	laughs	3
156844	occasionally funny overall limp fish water story	2
156845	occasionally funny overall limp fish water	2
156846	occasionally funny overall limp fish water	2
156847	occasionally funny overall limp	2
156848	occasionally funny	2
156849	funny	3
156850	overall limp	2
156851	overall limp	2
156852	overall limp	2
156853	overall	2
156854	limp	2
156855	limp	2
156856	fish water	2
156857	story	2
156858	nightmare date half formed wit done great disservice lack critical distance sad trust liberal arts college bumper sticker platitudes	1
156859	nightmare date half formed wit	2
156860	nightmare date	2
156861	nightmare date	2
156862	nightmare	0
156863	date	2
156864	half formed wit	2
156865	half formed wit	2
156866	half formed wit	2
156867	half formed	2
156868	wit	2
156869	done great disservice lack critical distance sad trust liberal arts college bumper sticker platitudes	1
156870	done great disservice lack critical distance sad trust liberal arts college bumper sticker platitudes	1
156871	done great disservice lack critical distance sad trust	2
156872	done great disservice	2
156873	great disservice	2
156874	great disservice	2
156875	disservice	1
156876	lack critical distance sad trust	2
156877	lack critical distance sad trust	2
156878	lack	1
156879	lack	1
156880	critical distance sad trust	2
156881	critical distance sad trust	2
156882	critical distance	2
156883	critical distance	2
156884	critical	2
156885	distance	2
156886	sad trust	2
156887	sad trust	2
156888	trust	2
156889	liberal arts college bumper sticker platitudes	3
156890	liberal arts college bumper sticker platitudes	3
156891	arts college bumper sticker platitudes	2
156892	arts	2
156893	college bumper sticker platitudes	2
156894	college	3
156895	bumper sticker platitudes	2
156896	bumper	2
156897	sticker platitudes	2
156898	sticker	2
156899	platitudes	2
156900	fitfully amusing romp nothing else appeal fans malcolm middle pubescent star frankie muniz	3
156901	fitfully amusing	3
156902	fitfully amusing	3
156903	fitfully	2
156904	amusing	1
156905	romp nothing else appeal fans malcolm middle pubescent star frankie muniz	3
156906	romp nothing else appeal fans malcolm middle pubescent star frankie muniz	3
156907	romp	2
156908	nothing else appeal fans malcolm middle pubescent star frankie muniz	3
156909	nothing else appeal fans malcolm middle pubescent star frankie muniz	3
156910	nothing else appeal fans malcolm middle pubescent star frankie muniz	3
156911	nothing else	2
156912	nothing else	2
156913	nothing	2
156914	else	2
156915	appeal fans malcolm middle pubescent star frankie muniz	3
156916	appeal fans malcolm middle pubescent star frankie muniz	3
156917	NOTHING	2
156918	appeal fans malcolm middle pubescent star frankie muniz	3
156919	appeal	2
156920	fans malcolm middle pubescent star frankie muniz	2
156921	fans malcolm middle pubescent star frankie muniz	2
156922	fans	2
156923	malcolm middle pubescent star frankie muniz	2
156924	malcolm middle pubescent star frankie muniz	2
156925	malcolm middle	2
156926	malcolm middle	2
156927	malcolm	2
156928	middle	2
156929	middle	2
156930	middle	2
156931	pubescent star frankie muniz	2
156932	pubescent star	2
156933	pubescent star	2
156934	pubescent star	2
156935	pubescent	3
156936	star	2
156937	frankie muniz	2
156938	frankie	2
156939	muniz	2
156940	spy funny lrb enough rrb exciting lrb enough rrb would fairly simple forgive financial extortion trying reap moviegoing public	1
156941	spy funny lrb enough rrb exciting lrb enough rrb would fairly simple forgive financial extortion	1
156942	spy funny lrb enough rrb exciting lrb enough rrb	2
156943	spy funny lrb enough rrb exciting lrb enough rrb	2
156944	spy	2
156945	spy	2
156946	funny lrb enough rrb exciting lrb enough rrb	2
156947	NOTHING	2
156948	funny lrb enough rrb exciting lrb enough rrb	2
156949	funny lrb enough rrb	2
156950	funny lrb enough rrb	2
156951	lrb enough rrb	2
156952	enough rrb	2
156953	exciting lrb enough rrb	2
156954	exciting	3
156955	would fairly simple forgive financial extortion	3
156956	NOTHING	2
156957	would fairly simple forgive financial extortion	3
156958	would fairly simple forgive financial extortion	3
156959	fairly simple forgive financial extortion	2
156960	fairly simple forgive financial extortion	2
156961	fairly	2
156962	simple forgive financial extortion	2
156963	simple	2
156964	forgive financial extortion	2
156965	forgive financial extortion	2
156966	forgive	2
156967	financial extortion	2
156968	financial extortion	2
156969	financial	2
156970	extortion	2
156971	trying reap moviegoing public	3
156972	trying reap moviegoing public	3
156973	trying reap moviegoing public	3
156974	trying reap moviegoing public	3
156975	trying	2
156976	reap moviegoing public	2
156977	reap moviegoing public	2
156978	reap	2
156979	moviegoing public	2
156980	moviegoing public	2
156981	moviegoing public	2
156982	moviegoing	2
156983	public	2
156984	borrows many literary cinematic sources future world feels absolutely deja vu	3
156985	borrows many literary cinematic sources future world feels absolutely deja vu	3
156986	borrows	2
156987	many literary cinematic sources future world feels absolutely deja vu	3
156988	many literary cinematic sources future world feels absolutely deja vu	3
156989	many literary cinematic sources	2
156990	many	2
156991	NOTHING	2
156992	many	2
156993	literary cinematic sources	2
156994	literary	2
156995	cinematic sources	2
156996	cinematic sources	2
156997	cinematic	3
156998	sources	2
156999	future world feels absolutely deja vu	2
157000	future world feels absolutely deja vu	2
157001	future world	3
157002	future world	3
157003	future	2
157004	feels absolutely deja vu	2
157005	feels	2
157006	absolutely deja vu	2
157007	absolutely	2
157008	deja vu	1
157009	deja	2
157010	vu	2
157011	despite title amy orgasm porno though tedious one	1
157012	despite title	2
157013	despite	2
157014	title	2
157015	title	2
157016	amy orgasm porno though tedious one	2
157017	amy orgasm porno though tedious one	2
157018	amy orgasm	2
157019	amy	2
157020	amy	2
157021	orgasm	2
157022	porno though tedious one	2
157023	porno though tedious one	2
157024	porno	1
157025	porno	1
157026	NOTHING	2
157027	porno	1
157028	porno	1
157029	though tedious one	2
157030	though	2
157031	tedious one	2
157032	tedious one	2
157033	tedious one	2
157034	tedious one	2
157035	tedious	1
157036	one	2
157037	one	2
157038	dogged good parents vain jia defoliation ego make film touching despite doldrums	2
157039	dogged good parents vain jia defoliation ego make film touching despite doldrums	2
157040	dogged good parents vain jia defoliation ego make film touching despite doldrums	2
157041	dogged good parents vain jia defoliation ego	3
157042	dogged good parents vain jia defoliation ego	3
157043	dogged	2
157044	good parents vain jia defoliation ego	2
157045	good parents vain jia defoliation	2
157046	good parents vain jia	2
157047	good	3
157048	parents vain jia	2
157049	parents vain jia	2
157050	parents vain jia	2
157051	parents	2
157052	parents	2
157053	parents	2
